Cs137 0.662 0.61777521 0.005   
Mn54 0.834 0.78993756 0.005    
Ge68 1.022 0.9618 0.005   
K40 1.461 1.4312457 0.005    
nH 2.220 2.2218714 0.005     
Co60 2.505 2.5170658 0.005   
Tl208 2.614 2.6319784 0.005  
nC12 4.945 5.0795462 0.008   
O16 6.130  6.3270696 0.008   
nFe56 7.637 7.9131376 0.014  
