Cs137 0.662 897.8 32.54 0.005   
Mn54 0.834 1148 37.61 0.005    
K40 1.461 2080 54.8787 0.005    
nH 2.220 3229 73.06 0.005     
Co60 2.505 3658 78.06 0.005   
Tl208 2.614 3825 80.75 0.005  
nC12 4.945 7382 115.6 0.008   
O16 6.130 9195 129.9 0.008   
nFe56 7.637 11500 143.7 0.014  
